Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,"",Uncategorized,1702,"$11,607.48",-2,$-62.00,$-30.10,"$11,515.38",$398.16
2 Doughnut Holes,Regular Price,"",Uncategorized,1820,$455.00,-7,$-1.75,$-0.33,$452.92,$0.00
Add Espresso Shot,Regular Price,"",Uncategorized,2969,"$1,662.64",-3,$-1.68,$-5.61,"$1,655.35",$116.80
Add Soy,Regular Price,"",Uncategorized,1887,"$1,056.72",-1,$-0.56,$-11.09,"$1,045.07",$74.50
Add Yogurt,Regular Price,"",Uncategorized,11,$4.73,-1,$-0.43,$0.00,$4.30,$0.30
Americano (double),Regular Price,"",Uncategorized,2874,"$6,064.14",-1,$-2.11,$-6.53,"$6,055.50",$403.29
Apple Cider,Regular Price,"",Uncategorized,52,$97.24,0,$0.00,$-0.56,$96.68,$0.00
Bee Balm (12oz),Regular Price,"",Uncategorized,288,"$1,010.88",-1,$-3.51,$0.00,"$1,007.37",$68.50
Bee Balm (16oz),Regular Price,"",Uncategorized,406,"$1,522.50",-1,$-3.75,$0.00,"$1,518.75",$101.60
Bee Balm (20oz),Regular Price,"",Uncategorized,198,$788.04,0,$0.00,$0.00,$788.04,$53.44
Blowing Rock Tea Oz.,Regular Price,"",Uncategorized,6,$25.20,0,$0.00,$0.00,$25.20,$1.70
Boone Community,Regular Price,"",Uncategorized,2,$6.00,0,$0.00,$0.00,$6.00,$0.00
Breve Large,Regular Price,"",Uncategorized,18,$76.50,-1,$-4.25,$0.00,$72.25,$4.91
Breve Medium,Regular Price,"",Uncategorized,85,$298.35,0,$0.00,$0.00,$298.35,$20.36
Breve Small,Regular Price,"",Uncategorized,128,$389.12,-1,$-3.04,$0.00,$386.08,$26.39
Cafe Au Lait (12oz),Regular Price,"",Uncategorized,83,$194.22,0,$0.00,$-0.70,$193.52,$13.23
Cafe Au Lait (16oz),Regular Price,"",Uncategorized,121,$312.18,0,$0.00,$0.00,$312.18,$21.02
Cafe Au Lait (20oz),Regular Price,"",Uncategorized,28,$78.68,0,$0.00,$0.00,$78.68,$5.32
Cappuccino Traditional,Regular Price,"",Uncategorized,485,"$1,362.85",0,$0.00,$-3.66,"$1,359.19",$91.93
Chai Latte (Large),Regular Price,"",Uncategorized,484,"$1,698.84",0,$0.00,$-2.10,"$1,696.74",$115.11
Chai Latte (Medium),Regular Price,"",Uncategorized,1113,"$3,650.64",-2,$-6.56,$-12.77,"$3,631.31",$243.69
Chai Latte (Small),Regular Price,"",Uncategorized,883,"$2,684.32",-3,$-9.12,$-20.02,"$2,655.18",$180.66
Coffee lb,Regular Price,"",Uncategorized,2383,"$26,213.00",-3,$-33.00,$-47.30,"$26,132.70","$1,759.71"
Cortado,Regular Price,"",Uncategorized,226,$551.44,0,$0.00,$-18.50,$532.94,$35.89
Cubano,Regular Price,"",Uncategorized,25,$52.75,0,$0.00,$0.00,$52.75,$3.50
D- (Dozen),Regular Price,"",Uncategorized,1288,"$18,998.00",-9,$-132.75,$-122.38,"$18,742.87","$1,260.31"
D- Cake,Regular Price,"",Uncategorized,4593,"$4,317.42",-11,$-10.34,$-6.64,"$4,300.44",$286.70
D- Cake Dozen,Regular Price,"",Uncategorized,147,"$1,468.53",-1,$-9.99,$-10.99,"$1,447.55",$93.20
D- Filled Specialty,Regular Price,"",Uncategorized,2285,"$5,895.30",-2,$-5.16,$-12.38,"$5,877.76",$395.14
D- Holes Cup,Regular Price,"",Uncategorized,1178,"$2,650.50",-2,$-4.50,$-2.04,"$2,643.96",$176.96
D-Yeast Glazed,Regular Price,"",Uncategorized,30098,"$49,360.72",-23,$-37.72,$-92.63,"$49,230.37","$3,304.37"
Drip (12oz.),Regular Price,"",Uncategorized,9201,"$15,089.64",-12,$-19.68,$-21.56,"$15,048.40","$1,009.56"
Drip (16oz.),Regular Price,"",Uncategorized,8372,"$15,655.64",-5,$-9.35,$-15.31,"$15,630.98","$1,077.24"
Drip (20oz),Regular Price,"",Uncategorized,5563,"$11,737.93",-4,$-8.44,$-11.36,"$11,718.13",$781.09
Drip Refill,Regular Price,"",Uncategorized,927,$435.69,0,$0.00,$-0.14,$435.55,$28.04
Espresso Double,Regular Price,"",Uncategorized,788,"$1,473.56",-1,$-1.87,$-3.36,"$1,468.33",$100.49
Flavor,Regular Price,"",Uncategorized,5623,"$1,855.59",-9,$-2.97,$-4.33,"$1,848.29",$112.57
Frappe (16oz.),Regular Price,"",Uncategorized,1188,"$4,728.24",-3,$-11.94,$-15.53,"$4,700.77",$318.78
Fresh Red,Regular Price,"",Uncategorized,219,$821.25,-1,$-3.75,$-5.60,$811.90,$54.36
Group Coffee ,Regular Price,"",Uncategorized,74,$944.35,-3,$-38.20,$-8.92,$897.23,$58.83
Half Dozen (yeast),Regular Price,"",Uncategorized,1005,"$8,241.00",-1,$-8.20,$-14.76,"$8,218.04",$553.18
Hazel Truffle (12oz),Regular Price,"",Uncategorized,457,"$1,604.07",-1,$-3.51,$-2.10,"$1,598.46",$108.95
Hazel Truffle (16oz),Regular Price,"",Uncategorized,752,"$2,820.00",-1,$-3.75,$0.00,"$2,816.25",$188.79
Hazel Truffle (20oz),Regular Price,"",Uncategorized,274,"$1,090.52",-2,$-7.96,$-1.20,"$1,081.36",$73.34
Hot Chocolate (8oz),Regular Price,"",Uncategorized,44,$77.00,0,$0.00,$-1.05,$75.95,$0.00
Hot Chocolate 12oz,Regular Price,"",Uncategorized,635,"$1,485.90",-1,$-2.34,$-1.40,"$1,482.16",$101.16
Hot Chocolate 16oz,Regular Price,"",Uncategorized,223,$646.70,0,$0.00,$-1.74,$644.96,$44.19
Hot Chocolate 20oz,Regular Price,"",Uncategorized,51,$186.15,0,$0.00,$-1.10,$185.05,$12.61
Hot/Tea ,Regular Price,"",Uncategorized,1021,"$1,909.27",0,$0.00,$-8.40,"$1,900.87",$131.07
Juice (large),Regular Price,"",Uncategorized,61,$114.07,0,$0.00,$-0.56,$113.51,$7.80
Latte 12oz,Regular Price,"",Uncategorized,2894,"$8,132.14",-7,$-19.67,$-55.14,"$8,057.33",$544.56
Latte 16oz,Regular Price,"",Uncategorized,3808,"$13,366.08",-9,$-31.59,$-29.42,"$13,305.07",$905.39
Latte 20oz,Regular Price,"",Uncategorized,1801,"$6,753.75",-2,$-7.50,$-4.49,"$6,741.76",$456.23
Life Magnets,Regular Price,"",Uncategorized,12,$54.00,0,$0.00,$0.00,$54.00,$3.63
London Fog 12oz.,Regular Price,"",Uncategorized,267,$838.38,0,$0.00,$-3.76,$834.62,$55.89
London Fog 16oz.,Regular Price,"",Uncategorized,261,"$1,002.24",0,$0.00,$-3.45,$998.79,$67.36
Macchiato,Regular Price,"",Uncategorized,212,$517.28,0,$0.00,$-1.46,$515.82,$34.76
Magnets,Regular Price,"",Uncategorized,12,$54.00,0,$0.00,$-1.35,$52.65,$3.53
Milk Single Serve,Regular Price,"",Uncategorized,238,$445.06,0,$0.00,$-0.56,$444.50,$30.57
Mocha Large,Regular Price,"",Uncategorized,712,"$2,833.76",0,$0.00,$0.00,"$2,833.76",$192.17
Mocha Medium ,Regular Price,"",Uncategorized,1706,"$6,397.50",-3,$-11.25,$-6.00,"$6,380.25",$428.37
Mocha Small,Regular Price,"",Uncategorized,831,"$2,916.81",0,$0.00,$-1.05,"$2,915.76",$198.21
Pour Over,Regular Price,"",Uncategorized,299,$630.89,0,$0.00,$-0.63,$630.26,$42.05
Queen Anne's Lace (12oz),Regular Price,"",Uncategorized,492,"$1,726.92",0,$0.00,$-9.46,"$1,717.46",$116.94
Queen Anne's Lace (16oz),Regular Price,"",Uncategorized,878,"$3,292.50",-2,$-7.50,$-4.52,"$3,280.48",$219.79
Queen Anne's Lace (20oz),Regular Price,"",Uncategorized,266,"$1,058.68",-2,$-7.96,$-2.40,"$1,048.32",$71.08
Red Frappe,Regular Price,"",Uncategorized,1,$3.98,0,$0.00,$0.00,$3.98,$0.27
San Pellegrino,Regular Price,"",Uncategorized,64,$144.00,0,$0.00,$-1.36,$142.64,$9.54
Smoothie (16oz.),Regular Price,"",Uncategorized,1873,"$7,454.54",-2,$-7.96,$-20.29,"$7,426.29",$503.48
Special One,Regular Price,"",Uncategorized,1421,"$3,993.01",-2,$-5.62,$-3.36,"$3,984.03",$269.38
T-shirts,Regular Price,"",Uncategorized,80,"$1,039.20",0,$0.00,$-7.80,"$1,031.40",$69.73
Water Bottle,Regular Price,"",Uncategorized,71,$88.75,-1,$-1.25,$-0.38,$87.12,$5.90
Wild Cat Red Eye (12oz),Regular Price,"",Uncategorized,187,$394.57,-1,$-2.11,$-0.21,$392.25,$26.09
Wild Cat Red Eye (16oz),Regular Price,"",Uncategorized,440,"$1,029.60",0,$0.00,$0.00,"$1,029.60",$70.37
Wild Cat Red Eye (20oz),Regular Price,"",Uncategorized,426,"$1,099.08",0,$0.00,$0.00,"$1,099.08",$73.15
Yosefa Tea Oz.,Regular Price,"",Uncategorized,2,$12.00,0,$0.00,$0.00,$12.00,$0.81
